,,Wavelength (µm),"Reflectance, S-Pol. (%)","Reflectance, P-Pol. (%)","Reflectance, Unpol. (%)"
,,1.083,98.36647,97.39286,97.879665
,,1.084,98.405876,97.373787,97.8898315
,,1.085,98.365692,97.394165,97.8799285
,,1.086,98.336945,97.399445,97.868195
,,1.087,98.382797,97.442284,97.9125405
,,1.088,98.420471,97.352966,97.8867185
,,1.089,98.376999,97.388298,97.8826485
,,1.090,98.322655,97.391731,97.857193
,,1.091,98.387978,97.413239,97.9006085
,,1.092,98.386116,97.409485,97.8978005
,,1.093,98.386787,97.413651,97.900219
,,1.094,98.371193,97.452911,97.912052
,,1.095,98.428345,97.417976,97.9231605
,,1.096,98.395683,97.431564,97.9136235
,,1.097,98.382629,97.429184,97.9059065
,,1.098,98.388306,97.395004,97.891655
,,1.099,98.404449,97.425529,97.914989
,,1.100,98.398941,97.40274,97.9008405
,,1.101,98.391579,97.448341,97.91996
,,1.102,98.40593,97.399216,97.902573
,,1.103,98.473221,97.434006,97.9536135
,,1.104,98.44445,97.405045,97.9247475
,,1.105,98.460785,97.449181,97.954983
,,1.106,98.452103,97.477356,97.9647295
,,1.107,98.403145,97.447762,97.9254535
,,1.108,98.443176,97.502869,97.9730225
,,1.109,98.451782,97.447113,97.9494475
,,1.110,98.437569,97.495041,97.966305
,,1.111,98.484596,97.419235,97.9519155
,,1.112,98.426178,97.460251,97.9432145
,,1.113,98.426292,97.463295,97.9447935
,,1.114,98.440384,97.460739,97.9505615
,,1.115,98.444489,97.452179,97.948334
,,1.116,98.412071,97.442101,97.927086
,,1.117,98.433456,97.467049,97.9502525
,,1.118,98.424019,97.477081,97.95055
,,1.119,98.392418,97.439392,97.915905
,,1.120,98.430794,97.467056,97.948925
,,1.121,98.423294,97.402039,97.9126665
,,1.122,98.451241,97.446655,97.948948
,,1.123,98.450142,97.455666,97.952904
